epoch,updates,te_auc,te_ap,te_ap_lift,te_prec_r50,te_fp_day_r50,va_auc,va_ap
0,0,0.34220290170767453,0.0010855751602706324,0.7002132882290496,0.0011095868302130408,13542.017094017094,0.301149287726401,0.3715490662997813
1,2208,0.9948124888969255,0.2790760608644645,180.00850921754784,0.2894736842105263,36.92307692307692,0.9977934362925035,0.9968585887408069
2,4417,0.9970506116980796,0.48334812245532904,311.7672461291478,0.582010582010582,10.803418803418804,0.9991711701646466,0.998837366251557
3,6626,0.9961416954578166,0.22593974016923807,145.73473509294257,0.18211920529801323,67.55555555555556,0.9965147129023723,0.9937935092373601
4,8835,0.9968805119319725,0.25462489429408514,164.23711689772605,0.2609727164887307,42.598290598290596,0.9966435517194188,0.9937541860110872
5,11043,0.9961880676254856,0.18010463726925613,116.17036286659932,0.19147084421235858,63.52136752136752,0.9964903136978499,0.9932575393860853
# BEST (by va_auc, epoch 2): TEST AUC 0.9971 AP 0.4833 lift 311.8x, @50% recall: prec 0.5820, FP/day 10.8 | VAL AUC 0.9992 AP 0.9988
