epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.41764089317695346,0.00645609744298593,0.344266240041335,0.43225466500939874
1,863,0.9674462718206129,0.4004816258384682,0.9949344107326331,0.9965988318404647
2,1726,0.9682788800709611,0.2620467885385342,0.9956153664339279,0.99712202101218
3,2589,0.9656572979054342,0.25551203585037807,0.9956614109745915,0.9971516209127184
4,3452,0.9683217586284876,0.2589648956076009,0.9958268935533883,0.997238817478219
5,4315,0.9686781298684702,0.2589298011053496,0.995852916961841,0.9972595729488942
6,5178,0.96714169781548,0.26683508163378095,0.9958468784681471,0.997263281417413
7,6041,0.9675720572749784,0.27026651082109865,0.9959094807237582,0.9972926961027001
8,6904,0.971765957620074,0.38083732278539073,0.9959018873218353,0.9972896036226847
9,7767,0.969617785737508,0.32554199978744364,0.9959328202995004,0.9973055385369551
10,8630,0.9703245224005227,0.34823303994998805,0.9959712156831104,0.9973236212699854
# BEST (by va_auc, epoch 10): TEST AUC 0.9703 AP 0.3482 | VAL AUC 0.9960 AP 0.9973
