epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.26572180366819953,0.004351764366153833,0.24335328870670644,0.355389714204402
1,863,0.973173315505375,0.607063118343247,0.99494643684931,0.9966930699379053
2,1726,0.9636710951540652,0.252464747219328,0.9957118772660457,0.9971475358784246
3,2589,0.9766048451203951,0.6976220387288538,0.9958002202573129,0.9972062182414487
4,3452,0.9738702643311165,0.7227615772567927,0.9957828432069505,0.9972065064642838
5,4315,0.9797205799536323,0.6555338947223304,0.9957709388889935,0.9972094591357941
6,5178,0.9751858357936041,0.6424202293663046,0.9958663738497411,0.997257586490532
7,6041,0.9727020115649954,0.5292165076809269,0.9959144001657337,0.9972833608445784
8,6904,0.974768364958227,0.5277627884377507,0.9959223600550159,0.9972864418472467
9,7767,0.9725158625605984,0.5473866425038929,0.99588673533247,0.9972719243255957
10,8630,0.9724036547940984,0.6532132505040903,0.9959263140966443,0.9972927437054837
# BEST (by va_auc, epoch 10): TEST AUC 0.9724 AP 0.6532 | VAL AUC 0.9959 AP 0.9973
