epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.34567506008949056,0.007038546822807499,0.2804138345767509,0.38842703834112036
1,863,0.9705674095400249,0.627298572966858,0.9942845425956891,0.9962223816416108
2,1726,0.9663665559153304,0.38979382479759744,0.9955702364229004,0.9970779909416115
3,2589,0.9655270883486211,0.33392413190206915,0.995698818977966,0.9971732533648751
4,3452,0.969732671456286,0.32594245509017133,0.9957627124351071,0.9971984126510054
5,4315,0.9696501795637474,0.31370561575924716,0.9958814767870623,0.9972772789468622
6,5178,0.9697955015413103,0.29331962504494463,0.9958770897468283,0.9972808175733615
7,6041,0.9693078714883588,0.27771528012004104,0.9958650927288218,0.9972703939469179
8,6904,0.9697375732051925,0.30086727833323695,0.9958817684492696,0.9972835790851402
9,7767,0.9688414223152667,0.2681753653635585,0.9959211145280058,0.9973017774755812
10,8630,0.9685077353669483,0.2618692752063735,0.9959346764309284,0.997307541384187
# BEST (by va_auc, epoch 10): TEST AUC 0.9685 AP 0.2619 | VAL AUC 0.9959 AP 0.9973
