epoch,updates,te_auc,te_ap,te_ap_lift,te_prec_r50,te_fp_day_r50,va_auc,va_ap
0,0,0.9846943375049466,0.01591699521006901,52.93573119556766,0.021201044386422976,1414.6415094339623,0.9986528829992282,0.9978990040543106
1,1260,0.9920907231287606,0.03323393448614111,110.52730740388559,0.025256902315216045,1188.377358490566,0.9992822909151966,0.999098429905648
2,2520,0.9941967699151759,0.0324680222994752,107.98008532473914,0.028124571271779395,1069.2830188679245,0.9989456669104934,0.9986218992362328
3,3780,0.9945308253673975,0.036140576896972296,120.19403402600972,0.031570762052877135,939.9245283018868,0.9982784043800808,0.9978449607507147
4,5040,0.9943834665041451,0.03544025184826754,117.86493748244186,0.034430122116689284,859.3207547169811,0.9986618671251739,0.998175494020873
5,6300,0.9929299477115983,0.027902681037297164,92.79696346780655,0.025992317541613318,1148.2264150943397,0.9982842284457168,0.9977750912329958
# BEST (by va_auc, epoch 1): TEST AUC 0.9921 AP 0.0332 lift 110.5x, @50% recall: prec 0.0253, FP/day 1188.4 | VAL AUC 0.9993 AP 0.9991
