epoch,updates,te_auc,te_ap,te_ap_lift,te_prec_r50,te_fp_day_r50,va_auc,va_ap
0,0,0.984739623742194,0.01591871355550973,52.941445959639054,0.021232088693651292,1412.5283018867924,0.9986104011352701,0.997855048115211
1,1260,0.9932466867912962,0.03419951589103645,113.73857668068,0.023930213367912297,1249.811320754717,0.9991293550976565,0.998817064104552
2,2520,0.9930303744611,0.03533120663553485,117.50228184340959,0.02841225626740947,1052.9811320754718,0.9992264097733876,0.99898000506819
3,3780,0.9935364459042781,0.03379460467343703,112.39194868399919,0.027861652484216307,1069.132075471698,0.9987455917002075,0.9984449896507451
4,5040,0.9934591991904302,0.03297544796340944,109.66764935257545,0.031121281464530894,958.6415094339623,0.9989382091339163,0.9986019124626808
5,6300,0.9926456115974721,0.029917480386368704,99.49765510890137,0.027436140018921477,1086.188679245283,0.9987346327292026,0.9983737117477884
# BEST (by va_auc, epoch 2): TEST AUC 0.9930 AP 0.0353 lift 117.5x, @50% recall: prec 0.0284, FP/day 1053.0 | VAL AUC 0.9992 AP 0.9990
