epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.9802606387897012,0.00906031728594828,0.9994197895920363,0.9992708888810392
1,1068,0.990082400262212,0.018505186551505345,0.9991306982281429,0.998724380869194
2,2136,0.9888698762362169,0.02291963867608542,0.9993937780451642,0.9991826226554452
3,3204,0.9885776708855214,0.022268268589582352,0.9990795118567044,0.9986557626994931
4,4272,0.9891443524434522,0.0198525607759683,0.999214502756359,0.9989030722545732
5,5340,0.9896622876282674,0.019186602637876592,0.9991595661044907,0.9988197106855969
# BEST (by va_auc, epoch 0): TEST AUC 0.9803 AP 0.0091 | VAL AUC 0.9994 AP 0.9993
