epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.4979624385088911,0.006387998695059575,0.48946545975143035,0.46077079276648414
1,863,0.9716105111036358,0.5468003392858337,0.9954743306872379,0.9969498938759511
2,1726,0.968700626233659,0.5368604378326304,0.9962404510255809,0.99748134166669
3,2589,0.9674130714765822,0.32848531479150583,0.9964385340397713,0.9976238523807377
4,3452,0.9723061992559364,0.6938989130929698,0.996554060229348,0.9977011712701904
5,4315,0.9662241702889495,0.30405948476836203,0.9966064185579108,0.9977249332269921
6,5178,0.967042175086086,0.3779507655490944,0.996643192781855,0.9977507077088864
7,6041,0.9735550881406492,0.5545016844890547,0.9966789787941732,0.9977859891196112
8,6904,0.9697682991839606,0.6593754931614096,0.9967875596507827,0.9978456825565504
9,7767,0.9673506172445092,0.5410068868343207,0.9968074095684963,0.9978586548744964
10,8630,0.9677801075440577,0.5796403607078724,0.9968355638310012,0.9978798465244395
# BEST (by va_auc, epoch 10): TEST AUC 0.9678 AP 0.5796 | VAL AUC 0.9968 AP 0.9979
