epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.45595606341641565,0.005945706367075186,0.42605464271592863,0.4250550673092109
1,863,0.9750316186295274,0.4575659138704274,0.9946834839097441,0.9965512970696089
2,1726,0.9688408663661096,0.4381633342085304,0.9962123305383184,0.9974760999492615
3,2589,0.9666831885359839,0.48962494560688574,0.9963328767161685,0.9975791129274704
4,3452,0.9705831718731697,0.734347432629039,0.996530083132918,0.9976735774314996
5,4315,0.9684111098373872,0.48449415154340686,0.9965324428791887,0.9976788457758751
6,5178,0.9677720501964144,0.5340338505713251,0.9965967922501382,0.9977174559340057
7,6041,0.9704431588185438,0.4468695973787875,0.9966020097456361,0.9977183471225962
8,6904,0.9675946554336748,0.4984002158998442,0.9966337298423311,0.9977384047341986
9,7767,0.9685765242873045,0.6173656744372465,0.9966499194071382,0.9977537064060819
10,8630,0.9685582719283574,0.5636573183139261,0.9966424406851532,0.9977487772985861
# BEST (by va_auc, epoch 9): TEST AUC 0.9686 AP 0.6174 | VAL AUC 0.9966 AP 0.9978
