epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.6698779699430395,0.011778502267039736,0.47683438956663454,0.4435110256070357
1,863,0.9660981264356799,0.4213469122648232,0.9956994257891644,0.9971166324543946
2,1726,0.9623542003759782,0.28045908052233337,0.9960858518171111,0.9973921438007168
3,2589,0.9616011320064471,0.24623200794556122,0.9961640696662588,0.9974391410859283
4,3452,0.9662771420642721,0.34483357739945725,0.9961735574955382,0.9974431589362031
5,4315,0.9647668944335551,0.45980449177012156,0.9962692935755608,0.9975020605287359
6,5178,0.9659590451831626,0.31273444979483095,0.9962747176196554,0.9975056560668625
7,6041,0.9690351275300385,0.6562843659925439,0.9962873265930895,0.997513293345455
8,6904,0.9653308148053489,0.29523647352860144,0.9962676214412602,0.997504190709975
9,7767,0.9672189747483194,0.49763965657539405,0.9963012869919085,0.9975224536000336
10,8630,0.9681056353512252,0.5372738931065245,0.9962899373673529,0.9975180908061685
# BEST (by va_auc, epoch 9): TEST AUC 0.9672 AP 0.4976 | VAL AUC 0.9963 AP 0.9975
