updates,tokens,loss,lr,mask_rate,seq_len,walk_len,seconds
50,2110237,6.363442420959473,6.330711e-05,0.6688282986268169,40.81696324951644,40.81696324951644,5.178209066390991
100,4214732,5.2789435386657715,0.00012644196,0.575652239177232,40.70589941972921,40.70589941972921,9.807111740112305
150,6324271,3.936046600341797,0.00018972812999999998,0.42002517422991303,40.80346228239845,40.80346228239845,16.29758095741272
200,8428891,2.8894314765930176,0.00025286673,0.20267657557083307,40.708317214700195,40.708317214700195,20.809226274490356
250,10533347,2.059879779815674,0.00029822217666666665,0.15,40.70514506769826,40.70514506769826,26.335783004760742
300,12640013,1.5165787935256958,0.00029119995666666664,0.15,40.7478916827853,40.7478916827853,30.803959846496582
350,14745309,1.2653151750564575,0.00028418230333333334,0.15,40.72139264990329,40.72139264990329,36.254470348358154
400,16854423,1.0739295482635498,0.0002771519233333333,0.15,40.7952417794971,40.7952417794971,40.70307016372681
450,18963586,1.0378706455230713,0.00027012137999999996,0.15,40.79618955512573,40.79618955512573,46.19880771636963
500,21070039,1.037410855293274,0.00026309987,0.15,40.743771760154736,40.743771760154736,50.660327434539795
550,23175584,1.014554500579834,0.00025608138666666664,0.15,40.72620889748549,40.72620889748549,56.14671611785889
600,25280971,0.9539933204650879,0.00024906342999999996,0.15,40.72315280464217,40.72315280464217,60.60273790359497
650,27387557,0.9479056596755981,0.00024204147666666664,0.15,40.74634429400387,40.74634429400387,66.08919668197632
700,29492143,0.9701932072639465,0.00023502618999999997,0.15,40.70765957446808,40.70765957446808,70.57260179519653
750,31599457,0.9168202877044678,0.00022800181,0.15,40.76042553191489,40.76042553191489,76.10635685920715
800,33705122,0.8882282376289368,0.00022098292666666662,0.15,40.72852998065764,40.72852998065764,80.60777521133423
850,35811322,0.9293829202651978,0.00021396226,0.15,40.73887814313346,40.73887814313346,86.09115934371948
900,37916378,0.8944230675697327,0.00020694540666666664,0.15,40.716750483559,40.716750483559,90.57365131378174
950,40022027,0.8967738151550293,0.00019992657666666666,0.15,40.72822050290135,40.72822050290135,96.08476161956787
1000,42130063,0.8633458614349365,0.00019289979,0.15,40.77439071566731,40.77439071566731,100.53345060348511
1050,44236063,0.8667284846305847,0.00018587978999999997,0.15,40.73500967117988,40.73500967117988,106.00973892211914
1100,46343688,0.8885142207145691,0.00017885437333333332,0.15,40.766441005802704,40.766441005802704,110.49277877807617
1150,48450573,0.8724042177200317,0.00017183142333333332,0.15,40.75212765957447,40.75212765957447,115.9672212600708
1200,50555619,0.8765345811843872,0.00016481460333333335,0.15,40.71655705996132,40.71655705996132,120.41501665115356
1250,52664260,0.8400911688804626,0.0001577858,0.15,40.786092843326884,40.786092843326884,125.89926362037659
1300,54770538,0.8378638029098511,0.0001507648733333333,0.15,40.74038684719536,40.74038684719536,130.38175344467163
1350,56874397,0.8849650621414185,0.00014375201,0.15,40.69359767891683,40.69359767891683,135.85665917396545
1400,58981689,0.9008274674415588,0.0001367277033333333,0.15,40.76,40.76,140.34170389175415
1450,61088273,0.8821859955787659,0.00012970575666666664,0.15,40.746305609284335,40.746305609284335,145.820250749588
1500,63194749,0.8563063144683838,0.00012268417,0.15,40.7442166344294,40.7442166344294,150.30442428588867
1550,65300588,0.8785850405693054,0.00011566470666666665,0.15,40.73189555125725,40.73189555125725,155.89232277870178
1600,67407611,0.8308169841766357,0.00010864129666666666,0.15,40.754796905222435,40.754796905222435,160.3765676021576
1650,69511347,0.8711920976638794,0.00010162884333333331,0.15,40.69121856866538,40.69121856866538,165.8526246547699
1700,71619353,0.8668793439865112,9.460215666666665e-05,0.15,40.77381044487427,40.77381044487427,170.33720445632935
1750,73727290,0.8523974418640137,8.757570000000001e-05,0.15,40.77247582205029,40.77247582205029,175.8168261051178
1800,75834607,0.8539445996284485,8.055130999999999e-05,0.15,40.760483558994196,40.760483558994196,180.28478503227234
1850,77939942,0.8456833958625793,7.353352666666665e-05,0.15,40.72214700193424,40.72214700193424,185.71459031105042
1900,80046807,0.8207525610923767,6.651064333333334e-05,0.15,40.75174081237911,40.75174081237911,190.20039415359497
1950,82154871,0.8548039197921753,5.9483763333333337e-05,0.15,40.77493230174081,40.77493230174081,194.8553831577301
2000,84262358,0.8577188849449158,5.245880666666666e-05,0.15,40.76377176015474,40.76377176015474,198.8878629207611
2050,86369962,0.848154604434967,4.543346e-05,0.15,40.76603481624758,40.76603481624758,206.7467963695526
2100,88476805,0.8484838008880615,3.8410649999999984e-05,0.15,40.75131528046422,40.75131528046422,210.77015733718872
2150,90582349,0.8531303405761719,3.139216999999999e-05,0.15,40.72618955512573,40.72618955512573,215.5335454940796
2200,92687776,0.8642840385437012,2.4374079999999996e-05,0.15,40.723926499032885,40.723926499032885,219.61040568351746
2250,94796114,0.7849282622337341,1.7346286666666665e-05,0.15,40.780232108317215,40.780232108317215,225.9003369808197
2300,96903183,0.8212404847145081,1.0322723333333338e-05,0.15,40.75568665377176,40.75568665377176,229.3777196407318
2350,99009881,0.8434767127037048,3.3003966666666824e-06,0.15,40.74851063829787,40.74851063829787,236.24696946144104
