epoch,updates,te_auc,te_ap,te_ap_lift,te_prec_r50,te_fp_day_r50,va_auc,va_ap
0,0,0.9748237722673522,0.053530930859214516,34.528303972566974,0.06176305446378439,228.51282051282053,0.9931925194592209,0.9862277979600748
1,2209,0.9953329400380518,0.24871905813470213,160.42775840441578,0.17227877838684416,72.27350427350427,0.9996131686117762,0.9995012086616873
2,4418,0.9953915870727948,0.19154579904883565,123.55009464753167,0.15341701534170155,83.00854700854701,0.9996417692501466,0.9995350785040069
3,6627,0.9954794005130564,0.18709747093227358,120.68085208228804,0.14435695538057744,89.16239316239316,0.9995617085127271,0.9994289547926616
4,8836,0.9956998445567555,0.17666709805593403,113.9530952613084,0.14093529788597053,91.6923076923077,0.9994218852734175,0.9992734453034026
5,11045,0.9957989217083195,0.17322981247277808,111.73599125151887,0.14184397163120568,91.00854700854701,0.9994858269030928,0.9993446460470483
# BEST (by va_auc, epoch 2): TEST AUC 0.9954 AP 0.1915 lift 123.6x, @50% recall: prec 0.1534, FP/day 83.0 | VAL AUC 0.9996 AP 0.9995
