epoch,updates,te_auc,te_ap,te_ap_lift,te_prec_r50,te_fp_day_r50,va_auc,va_ap
0,0,0.9780547050097258,0.06440503946498716,41.54227741454372,0.08208955223880597,168.2051282051282,0.9952247253196588,0.9921164192973639
1,2209,0.9955769146031093,0.29207648532670855,188.3939902917573,0.21235521235521235,55.794871794871796,0.999658827101594,0.9995550004105097
2,4418,0.9947446488045315,0.21247068409466316,137.04697915629387,0.16236162361623616,77.6068376068376,0.9996136200624643,0.9994637701457528
3,6627,0.99406044682756,0.15788608393566492,101.83904168426139,0.13622291021671826,95.38461538461539,0.9994647216835079,0.9993426355186859
4,8836,0.9945228350677555,0.1573107090557204,101.46791571215466,0.13827781269641734,93.74358974358974,0.9994931917319538,0.9993650102867474
5,11045,0.9945048316608132,0.158535243324944,102.25775984140728,0.13924050632911392,92.99145299145299,0.9994351281813966,0.9992740205427826
# BEST (by va_auc, epoch 1): TEST AUC 0.9956 AP 0.2921 lift 188.4x, @50% recall: prec 0.2124, FP/day 55.8 | VAL AUC 0.9997 AP 0.9996
