epoch,updates,te_auc,te_ap,te_ap_lift,te_prec_r50,te_fp_day_r50,va_auc,va_ap
0,0,0.9785062485035599,0.05113113685320272,32.98039857318129,0.07617728531855955,182.42735042735043,0.9991507287474645,0.9990696008694011
1,2209,0.9959533948878236,0.28443142072195277,183.46280171860954,0.26,43.00854700854701,0.9996942275361166,0.9995989049049773
2,4418,0.9957215703060596,0.3061231395996876,197.45430627637072,0.19383259911894274,62.56410256410256,0.9994580708237975,0.9993320957146833
3,6627,0.9962736291291885,0.22424331340717066,144.64051278132405,0.1476510067114094,86.83760683760684,0.9994800499206055,0.9993354885333816
4,8836,0.9964031054100403,0.22680759223729924,146.2945135150299,0.15246015246015246,83.62393162393163,0.9995152030806012,0.9993566136502212
5,11045,0.9963079963398901,0.2135918397386434,137.77014242385818,0.14745308310991956,86.97435897435898,0.9995037297827557,0.9993474907195189
# BEST (by va_auc, epoch 1): TEST AUC 0.9960 AP 0.2844 lift 183.5x, @50% recall: prec 0.2600, FP/day 43.0 | VAL AUC 0.9997 AP 0.9996
