epoch,updates,te_auc,te_ap,te_ap_lift,te_prec_r50,te_fp_day_r50,va_auc,va_ap
0,0,0.9740350425660727,0.05310748984656971,34.255177767504264,0.06042296072507553,233.9145299145299,0.9928925399098333,0.9855906066110587
1,2209,0.9952358569984673,0.2140364001066206,138.05689094986536,0.15793251974156497,80.2051282051282,0.9997369418508516,0.9996637923820847
2,4418,0.9949652499600835,0.25476199373302383,164.32554822193734,0.1888412017167382,64.61538461538461,0.9997922674541949,0.9997603844918144
3,6627,0.9947105716464816,0.1733991493240152,111.84521622069884,0.13915243516761544,93.05982905982906,0.9996950243304427,0.9996310016988142
4,8836,0.9951013934234122,0.1707395718518653,110.12974634332092,0.14492753623188406,88.75213675213675,0.9996568132069218,0.9995572333733276
5,11045,0.9948373004841615,0.16952278025189665,109.34489635919718,0.1437908496732026,89.57264957264957,0.9996956658267828,0.999622781800734
# BEST (by va_auc, epoch 2): TEST AUC 0.9950 AP 0.2548 lift 164.3x, @50% recall: prec 0.1888, FP/day 64.6 | VAL AUC 0.9998 AP 0.9998
