epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.9848665270756053,0.06764776547928636,0.9910521183483934,0.9778906543705643
1,2209,0.9970453988073695,0.3100321788050936,0.9961863693740575,0.9936315639452078
2,4418,0.996661747776547,0.31067764904159995,0.9959293893204768,0.9921797737995204
3,6627,0.9967718106722891,0.34973680624514797,0.9957330427310834,0.9907576039969346
4,8836,0.9967024598890015,0.27557941855764595,0.9956260588012301,0.989756402058179
5,11045,0.9972263312343109,0.2963992252140735,0.9957927246471616,0.9906864231306646
# BEST (by va_auc, epoch 1): TEST AUC 0.9970 AP 0.3100 | VAL AUC 0.9962 AP 0.9936
