epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.9850007811681898,0.06870710112082298,0.9910536246081221,0.9779222060636045
1,2209,0.9978957244120163,0.43027411592017734,0.9955660631678326,0.9918135323428237
2,4418,0.9976356720673423,0.42741239401339953,0.9957761389448772,0.9913156661165858
3,6627,0.9976943513301577,0.39230462079305056,0.9959313091869006,0.9915462917601787
4,8836,0.9969797703664437,0.3108398560316853,0.9956685910019135,0.9895889387432201
5,11045,0.9966843517408239,0.26119886058709507,0.9956368835406083,0.9893505505663653
# BEST (by va_auc, epoch 3): TEST AUC 0.9977 AP 0.3923 | VAL AUC 0.9959 AP 0.9915
