epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.5823917481064255,0.0002878258009449621,0.7730387359279017,0.6371230142299621
1,1068,0.9894443280850016,0.01967007080822513,0.9990601238830188,0.9985983131933293
2,2136,0.9908008449722716,0.026027418103718107,0.9988688803516526,0.9981070743212149
3,3204,0.9909766300651194,0.022668036178271712,0.9984156996227622,0.9973464706602815
4,4272,0.9887864270860981,0.020466863220456506,0.9981985752475009,0.9970589737271683
5,5340,0.9875602126590292,0.018914705317357654,0.9980633125167503,0.9968524705165093
# BEST (by va_auc, epoch 1): TEST AUC 0.9894 AP 0.0197 | VAL AUC 0.9991 AP 0.9986
