epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.9178692162464553,0.0042497412000710106,0.995447557527625,0.9930327476177305
1,1068,0.9911561209769947,0.019355262158184113,0.9992456007559878,0.998942877398527
2,2136,0.9910653116477006,0.027204152492210164,0.9989311234932833,0.998182586714961
3,3204,0.9915676953352881,0.09955940892120389,0.9987491239135138,0.9978262671687849
4,4272,0.9912892458787862,0.03634854967870528,0.9984458345824454,0.99750198309153
5,5340,0.991432649301983,0.03407277080957725,0.998431230114461,0.9975298209575082
# BEST (by va_auc, epoch 1): TEST AUC 0.9912 AP 0.0194 | VAL AUC 0.9992 AP 0.9989
