epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.6814718175558288,0.0003861080490189062,0.8546824453940093,0.7390113278423843
1,1068,0.9846476494170014,0.021398796144558425,0.9986909321455667,0.9980907022687469
2,2136,0.986828567186934,0.01667985202255105,0.9979283243080979,0.9971105537759029
3,3204,0.99140092802129,0.024631360060936268,0.998378463427023,0.9976264122942768
4,4272,0.9913810976402367,0.02484609258273405,0.9983967660696599,0.9976247078120555
5,5340,0.9904046833281662,0.023835526030370934,0.9982992080680437,0.9974882009087939
# BEST (by va_auc, epoch 1): TEST AUC 0.9846 AP 0.0214 | VAL AUC 0.9987 AP 0.9981
