epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.5777301373027702,0.00028461646186865434,0.7350729621715034,0.598155630587319
1,1068,0.9872377237575556,0.02463548176928104,0.9990073433020357,0.9984396926507332
2,2136,0.9821430849207993,0.015407617563172063,0.9974480527211584,0.9960827599604113
3,3204,0.9903290333170611,0.0271732882043028,0.998545236080083,0.9976727666595155
4,4272,0.9874102560254543,0.021716862682444178,0.9977245066201264,0.996643577459746
5,5340,0.9871125009125374,0.020437025656359797,0.9972466455134199,0.9959590635704014
# BEST (by va_auc, epoch 1): TEST AUC 0.9872 AP 0.0246 | VAL AUC 0.9990 AP 0.9984
