epoch,updates,te_auc,te_ap,te_ap_lift,te_prec_r50,te_fp_day_r50,va_auc,va_ap
0,0,0.4810475514194902,0.000265954784204647,0.8844955207328582,0.00029799827366517326,102793.81132075471,0.41595670778459376,0.4201420518577664
1,1260,0.9921848665348708,0.036619929929447306,121.78823588006476,0.029822241809901572,996.8301886792453,0.9991008383287238,0.9988576278676793
2,2520,0.9931576461497553,0.038118488705372204,126.77204742842392,0.02824151363383417,1054.3396226415093,0.9991972044434948,0.9988611800769828
3,3780,0.9938324418308834,0.037760266013025554,125.58069316212251,0.030512550728994437,973.5849056603773,0.9991498132419154,0.9987792993636232
4,5040,0.9950043661162288,0.0438936707327391,145.97878082071486,0.03835978835978836,768.1509433962265,0.9991197920982048,0.9986945073016611
5,6300,0.9948830995047047,0.046737849303793114,155.4377691738851,0.04399653229302124,665.811320754717,0.9990711340471969,0.9986523769638398
# BEST (by va_auc, epoch 2): TEST AUC 0.9932 AP 0.0381 lift 126.8x, @50% recall: prec 0.0282, FP/day 1054.3 | VAL AUC 0.9992 AP 0.9989
