updates,tokens,loss,lr,mask_rate,seq_len,walk_len,seconds
50,2134900,6.587991714477539,6.404699999999999e-05,0.6680954139299999,41.294003868471954,41.294003868471954,5.246004343032837
100,4269800,5.959963798522949,0.00012809399999999998,0.57238165572,41.294003868471954,41.294003868471954,9.956915855407715
150,6404700,5.287985801696777,0.00019214099999999998,0.41285872536999996,41.294003868471954,41.294003868471954,17.128679513931274
200,8539600,4.645153045654297,0.00025618799999999997,0.18952662287999994,41.294003868471954,41.294003868471954,21.755836725234985
250,10674500,4.439873218536377,0.00029775166666666666,0.15,41.294003868471954,41.294003868471954,27.619871616363525
300,12809400,4.338731288909912,0.0002906353333333333,0.15,41.294003868471954,41.294003868471954,32.15077495574951
350,14944300,4.2733049392700195,0.000283519,0.15,41.294003868471954,41.294003868471954,37.64355945587158
400,17079200,4.230181694030762,0.00027640266666666667,0.15,41.294003868471954,41.294003868471954,42.09617996215824450,19214100,4.205175876617432,0.0002692863333333333,0.15,41.294003868471954,41.294003868471954,47.593590497970585500,21349000,4.15297794342041,0.00026217,0.15,41.294003868471954,41.294003868471954,52.1263396739959550,23483900,4.155892848968506,0.0002550536666666667,0.15,41.294003868471954,41.294003868471954,65.17534971237183
600,25618800,4.130918979644775,0.0002479373333333333,0.15,41.294003868471954,41.294003868471954,71.91561961174011
650,27753700,4.079063415527344,0.00024082099999999998,0.15,41.294003868471954,41.294003868471954,80.88029289245605
700,29888600,4.1061906814575195,0.00023370466666666664,0.15,41.294003868471954,41.294003868471954,87.60993361473083
750,32023500,4.099411964416504,0.00022658833333333333,0.15,41.294003868471954,41.294003868471954,99.9224145412445
800,34158400,4.043118000030518,0.00021947200000000002,0.15,41.294003868471954,41.294003868471954,106.66212630271912
850,36293300,4.046543121337891,0.00021235566666666665,0.15,41.294003868471954,41.294003868471954,115.49104475975037
900,38428200,4.092512130737305,0.0002052393333333333,0.15,41.294003868471954,41.294003868471954,122.22641825675964
950,40563100,4.065013885498047,0.00019812299999999997,0.15,41.294003868471954,41.294003868471954,131.16867542266846
1000,42698000,4.033719062805176,0.00019100666666666663,0.15,41.294003868471954,41.294003868471954,137.91314792633057
1050,44832900,4.0734052658081055,0.00018389033333333332,0.15,41.294003868471954,41.294003868471954,146.7216441631317
1100,46967800,4.064075946807861,0.00017677399999999998,0.15,41.294003868471954,41.294003868471954,153.4323799610138
1150,49102700,4.065845489501953,0.00016965766666666667,0.15,41.294003868471954,41.294003868471954,162.15161085128784
1200,51237600,4.068355083465576,0.0001625413333333333,0.15,41.294003868471954,41.294003868471954,168.92032837867737
1250,53372500,4.026696681976318,0.000155425,0.15,41.294003868471954,41.294003868471954,177.4279453754425
1300,55507400,4.011874675750732,0.00014830866666666666,0.15,41.294003868471954,41.294003868471954,184.11887741088867
1350,57642300,4.0658369064331055,0.00014119233333333332,0.15,41.294003868471954,41.294003868471954,192.91219687461853
1400,59777200,4.066101551055908,0.00013407599999999998,0.15,41.294003868471954,41.294003868471954,199.6794114112854
1450,61912100,4.071884632110596,0.00012695966666666667,0.15,41.294003868471954,41.294003868471954,208.1711344718933
1500,64047000,4.032681465148926,0.00011984333333333333,0.15,41.294003868471954,41.294003868471954,214.90606117248535
1550,66181900,4.033339500427246,0.00011272699999999998,0.15,41.294003868471954,41.294003868471954,223.30746126174927
1600,68316800,4.060743808746338,0.00010561066666666665,0.15,41.294003868471954,41.294003868471954,229.96621775627136
1650,70451700,4.057394027709961,9.849433333333333e-05,0.15,41.294003868471954,41.294003868471954,239.34323406219482
1700,72586600,4.041572570800781,9.1378e-05,0.15,41.294003868471954,41.294003868471954,246.125146150589
1750,74721500,4.054107666015625,8.426166666666665e-05,0.15,41.294003868471954,41.294003868471954,254.5956642627716
1800,76856400,4.040033340454102,7.714533333333333e-05,0.15,41.294003868471954,41.294003868471954,261.36507511138916
1850,78991300,4.042924404144287,7.0029e-05,0.15,41.294003868471954,41.294003868471954,269.88870763778687
1900,81126200,4.053630352020264,6.291266666666665e-05,0.15,41.294003868471954,41.294003868471954,276.61877942085266
1950,83261100,4.039592742919922,5.579633333333332e-05,0.15,41.294003868471954,41.294003868471954,285.14645767211914
2000,85396000,4.0494771003723145,4.8679999999999995e-05,0.15,41.294003868471954,41.294003868471954,291.9160542488098
2050,87530900,4.046293258666992,4.156366666666667e-05,0.15,41.294003868471954,41.294003868471954,300.38178396224976
2100,89665800,4.111642360687256,3.444733333333332e-05,0.15,41.294003868471954,41.294003868471954,307.15533113479614
2150,91800700,4.0647196769714355,2.7330999999999993e-05,0.15,41.294003868471954,41.294003868471954,315.6036026477814
2200,93935600,4.067096710205078,2.0214666666666668e-05,0.15,41.294003868471954,41.294003868471954,322.34110045433044
2250,96070500,4.055590629577637,1.3098333333333343e-05,0.15,41.294003868471954,41.294003868471954,330.83853363990784
2300,98205400,4.027592658996582,5.981999999999987e-06,0.15,41.294003868471954,41.294003868471954,337.6008539199829
13
