epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.5316474684111255,0.008088684511662681,0.4815039595980195,0.4730738250509816
1,863,0.9730460501300138,0.48941924943599924,0.9939409845728541,0.9960729817860293
2,1726,0.9745311469340735,0.5179617633100011,0.9951454908757339,0.9967646288871174
3,2589,0.9728728289010874,0.621854380687762,0.9959192662947884,0.9972980400284628
4,3452,0.9653991182489763,0.3933673239717114,0.9960551512131126,0.9973791441809584
5,4315,0.9678711657517779,0.3254226706279448,0.9960935630166866,0.9974120731347293
6,5178,0.963346984625735,0.44610532491267013,0.9961540599315439,0.9974475100345379
7,6041,0.9677133858149337,0.7050822891485249,0.9961674697939144,0.9974671182034408
8,6904,0.966652368593978,0.6852980615925631,0.9962579936265923,0.99751443621697
9,7767,0.9657046788681063,0.694720845472643,0.9962258421421109,0.9975005116619118
10,8630,0.9680198547453628,0.7105926478303569,0.9962476571034182,0.9975147525200673
# BEST (by va_auc, epoch 8): TEST AUC 0.9667 AP 0.6853 | VAL AUC 0.9963 AP 0.9975
