epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.3604606923587216,0.005019275457207205,0.37259737777399643,0.39687851371093097
1,863,0.9661416940569505,0.300171822436148,0.995909245751996,0.9972437606818113
2,1726,0.9638487639762486,0.27235172931625706,0.99623813232922,0.9974744289722475
3,2589,0.9743366900133992,0.7580601920791374,0.9961901815138843,0.9974642559693186
4,3452,0.9685814103756712,0.7754376351823754,0.9962145115875767,0.9974819767578212
5,4315,0.9650586737778045,0.5161984984480598,0.9962950941713385,0.9975370642967633
6,5178,0.9668886469857533,0.7518756939203801,0.996366086041237,0.9975768584433621
7,6041,0.9692696049597556,0.7317400882399828,0.9963853489972024,0.9975953911554883
8,6904,0.9722409026359193,0.7516479471780164,0.996425342833123,0.9976162380244484
9,7767,0.9689511870375834,0.7675681951337247,0.9964359157310309,0.9976235626780436
10,8630,0.9689275709438107,0.7611453456607775,0.9964441952899904,0.9976294994755283
# BEST (by va_auc, epoch 10): TEST AUC 0.9689 AP 0.7611 | VAL AUC 0.9964 AP 0.9976
