epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.4193817344235575,0.007614278628175467,0.33483119652922666,0.4303839943259013
1,863,0.9740775002521347,0.4692742313664288,0.994464032339025,0.9963332378863339
2,1726,0.9647415791712317,0.36266834128894426,0.9959820699547671,0.9973444449705233
3,2589,0.9634655584015976,0.28745987557247094,0.9960378139136122,0.9973787110074497
4,3452,0.9687071488484179,0.4468582007770771,0.9961985471737306,0.9974635285405541
5,4315,0.965234478995771,0.6674508390703178,0.9961900479717726,0.9974680858640566
6,5178,0.9625973302538449,0.6521839845070765,0.9961800236877226,0.9974653246434978
7,6041,0.9688190199133158,0.5823644457981202,0.9962464781915782,0.9974935464741082
8,6904,0.9670690877234525,0.5380050101020031,0.9962708012504126,0.9975064662219001
9,7767,0.966951884244808,0.4838473402416242,0.9963187976363445,0.9975312351580611
10,8630,0.9669673960093187,0.5197770865919292,0.99629338103909,0.9975211211716458
# BEST (by va_auc, epoch 9): TEST AUC 0.9670 AP 0.4838 | VAL AUC 0.9963 AP 0.9975
