epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.3178018130519949,0.004677477558861714,0.3414196782136937,0.38883146357067055
1,863,0.9777422153023517,0.4460111282668221,0.9929916866504175,0.9954444481289358
2,1726,0.9652008479869003,0.2597197262830186,0.9954644272665932,0.9970088795249297
3,2589,0.96688015897327,0.3836929502471323,0.9956059616397825,0.9970811860902596
4,3452,0.9739546903003002,0.40553848342863713,0.9956471441044206,0.9971135255843784
5,4315,0.9672265152981547,0.3817758565195299,0.9956310336776042,0.9971136342580981
6,5178,0.9724212885617298,0.6452794654869013,0.9956752516012054,0.9971375107277427
7,6041,0.9757187091455672,0.7259534225177348,0.9957759585654956,0.9971892413624944
8,6904,0.9733678115773985,0.5567463145472948,0.9957300379539901,0.9971660739725022
9,7767,0.9746176087734102,0.5210078327000095,0.9957469251594161,0.9971770566352772
10,8630,0.9734750314620241,0.5604740036719448,0.9957562231718341,0.9971794995810442
# BEST (by va_auc, epoch 7): TEST AUC 0.9757 AP 0.7260 | VAL AUC 0.9958 AP 0.9972
