updates,tokens,loss,lr,mask_rate,seq_len,walk_len,seconds
50,1378986,9.4802827835083,2.068479e-06,0.6999667219582065,27.351607592677073,3.39560069024337,5.548564910888672
100,2749733,9.33936882019043,4.1245995e-06,0.6998676819475024,27.188190491302535,3.3807445901184123,10.619887351989746
150,4122053,9.112202644348145,6.183079499999999e-06,0.6997026518836408,27.219390285022907,3.3835809350020827,15.639353036880493
200,5495473,8.817399978637695,8.243209499999999e-06,0.6994714960888597,27.241208322589603,3.385564392962691,20.65101408958435
250,6866014,8.451273918151855,1.0299021e-05,0.6991750124056565,27.325564239572532,3.393233112688412,38.38323974609375
300,8243295,8.096853256225586,1.23649425e-05,0.698810841532002,27.317789634448697,3.3925263304044275,43.3913516998291
350,9617144,7.756930828094482,1.4425715999999997e-05,0.698381434472457,27.249717357240613,3.3863379415673283,48.401649951934814
400,10993094,7.472080230712891,1.6489640999999998e-05,0.6978851579753753,27.291389808993,3.390126346272091,53.40949201583862
450,12359026,7.227936267852783,1.8538539e-05,0.6973269533357981,27.233670946646463,3.38487917696786,69.71372866630554
500,13729531,6.981529712677002,2.05942965e-05,0.6967012496241006,27.183390523037865,3.3803082293670785,74.71520853042603
550,15104282,6.701594352722168,2.2656423e-05,0.6960075616421283,27.2676081480453,3.387964377095027,79.72010350227356
600,16479891,6.431670188903809,2.4719836499999997e-05,0.695247230870992,27.284626217347324,3.389511474304302,84.72498536109924
650,17855258,6.106905460357666,2.6782886999999995e-05,0.6944208208306851,27.27982624908265,3.389075113552968,89.74970316886902
700,19222961,5.807024002075195,2.88344415e-05,0.6935333609818684,27.268980779966505,3.3880891618151368,105.58514404296875
750,20597844,5.435716152191162,3.0896766e-05,0.6925752543946541,27.270226312553305,3.3882023920503004,110.59889554977417
800,21971671,5.056458473205566,3.295750649999999e-05,0.6915517992856858,27.24928099648928,3.386298272408116,115.59810209274292
850,23348237,4.673152923583984,3.50223555e-05,0.690460047007357,27.303607910030347,3.391237082730032,120.61804294586182
900,24716380,4.252054214477539,3.707457e-05,0.689309259794673,27.277753409362788,3.388886673578435,135.9845209121704
950,26092022,3.818026065826416,3.9138032999999994e-05,0.6880861117891515,27.285280758474325,3.3895709780431207,140.98775577545166
1000,27468632,3.4196550846099854,4.1202947999999996e-05,0.68679579948085,27.304480631533014,3.3913164210484554,145.99842739105225
1050,28841876,2.974963665008545,4.3262814e-05,0.6854425583040109,27.237717436578933,3.385247039688994,151.01589107513428
1100,30217859,2.5831246376037598,4.532678849999999e-05,0.684020417455482,27.292044350119998,3.3901858500109086,166.93838095664978
1150,31581470,2.19063663482666,4.7372204999999994e-05,0.6825456881711842,27.18739532658107,3.380672302416461,171.93799495697021
1200,32959818,1.863402009010315,4.9439726999999994e-05,0.6809888819546203,27.33895313088839,3.3944502846262172,176.9603579044342
1250,34340421,1.671309232711792,5.15106315e-05,0.6793628709969982,27.383680107900112,3.3985163734454646,181.98116397857666
1300,35714303,1.4614825248718262,5.35714545e-05,0.6776785498214233,27.250371898367614,3.386397445306147,187.00983667373657
1350,37078376,1.326564908027649,5.5617563999999996e-05,0.6759408955810459,27.196606587447164,3.381509689767924,202.82348942756653
1400,38453589,1.2900853157043457,5.7680383499999996e-05,0.6741231261278339,27.276771723823312,3.3887974294384833,207.84521341323853
1450,39827559,1.1849972009658813,5.974133849999999e-05,0.6722408970217766,27.252117341372948,3.3865561219429954,212.86574411392212
1500,41204873,1.1378788948059082,6.18073095e-05,0.6702877727184428,27.3184441755757,3.3925858341432455,217.89464783668518
1550,42572466,1.0818707942962646,6.3858699e-05,0.6682827399268798,27.266787622617432,3.3878897838743116,233.0217089653015
1600,43948999,1.0405150651931763,6.59234985e-05,0.6661984960207149,27.302953368903346,3.391177578991213,238.01704287528992
1650,45317986,0.9925732016563416,6.797697899999999e-05,0.6640599025358165,27.153281631195828,3.3775710573814384,243.03436923027039
1700,46693353,0.9702454805374146,7.004002949999999e-05,0.6618452887483043,27.27982624908265,3.389075113552968,248.07660174369812
1750,48067147,1.006004810333252,7.21007205e-05,0.6595671141374068,27.248626455362277,3.386238768669298,264.0381455421448
1800,49435719,1.0137112140655518,7.41535785e-05,0.6572319195216781,27.286306723024165,3.3896642475476515,269.03083753585815
1850,50811812,0.940863311290741,7.6217718e-05,0.6548177958223415,27.294226153876668,3.3903841958069694,274.0467576980591
1900,52182141,0.9766039848327637,7.82732115e-05,0.652347922811482,27.179899637027194,3.379990876093381,279.06945300102234
1950,53557420,0.9132164716720581,8.033613e-05,0.6498030483515129,27.278080806077316,3.3889164369161193,284.0850284099579
2000,54923473,0.9061029553413391,8.23852095e-05,0.6472097119883198,27.23608341973044,3.385098492702767,300.0221498012543
2050,56299500,0.8855097889900208,8.444925e-05,0.644531410245625,27.292917071622668,3.3902651883293333,305.05039405822754
2100,57671215,0.8327310085296631,8.65068225e-05,0.641795541807416,27.207390364361228,3.3824900331237484,310.07720470428467
2150,59046109,0.8564808964729309,8.85691635e-05,0.638987247709302,27.270444492928974,3.3882222266299067,315.1271951198578
2200,60425964,0.8060705661773682,9.0638946e-05,0.6361023003067373,27.36884384235476,3.397167622032251,333.2820031642914
2250,61795757,0.8004529476165771,9.26936355e-05,0.6331724772939465,27.31065076959885,3.3918773426908047,338.256831407547
2300,63173093,0.7647310495376587,9.47596395e-05,0.6301603056142336,27.318880536327033,3.3926255033024573,343.25349593162537
2350,64546678,0.7539054155349731,9.682001699999998e-05,0.6270902112853756,27.244481028224605,3.3858619116567823,348.26451873779297
2400,65921781,0.7641446590423584,9.888267149999999e-05,0.6239505788212906,27.274589920066646,3.3885990836424225,366.4105625152588
2450,67289484,0.7866973876953125,0.000100934226,0.6207621935027404,27.268980779966505,3.3880891618151368,371.41096091270447
2500,68664829,0.758541464805603,0.00010299724349999999,0.6174899720220132,27.279389888331316,3.389035444393756,376.42694902420044
2550,70043221,0.7541862726211548,0.00010506483149999998,0.6141440758590402,27.33982585239106,3.3945296229446416,381.44337272644043
2600,71417862,0.7566452622413635,0.00010712679299999999,0.6107410572786066,27.26542634428863,3.387766031298966,386.4727704524994
2650,72793042,0.7711827754974365,0.000109189563,0.6072705281367591,27.276117182696314,3.388737925699665,404.73896741867065
2700,74160690,0.754711925983429,0.000111241035,0.6037533610276682,27.26788420129197,3.3879894728447244,409.71442103385925
2750,75534902,0.7362395524978638,0.00011330235299999998,0.6001533751473819,27.256917309637622,3.386992482694329,414.728887796402
2800,76913239,0.739372193813324,0.0001153698585,0.5964761891642554,27.338734950512723,3.3944304500466114,419.75110244750977
2850,78283447,0.709982693195343,0.00011742517049999999,0.5927547837014683,27.177499652894856,3.3797726957177137,438.61998891830444
2900,79653339,0.6935964822769165,0.00011948000849999998,0.5889685477576438,27.312624611213014,3.3920567828375465,443.58680748939514
2950,81030642,0.7073767781257629,0.00012154596299999999,0.5850956134986871,27.31822599520003,3.3925659995636392,448.58407711982727
3000,82404645,0.7169350981712341,0.0001236069675,0.5811658034424195,27.25277188249995,3.3866156256818134,453.60096859931946
3050,83777086,0.7120383381843567,0.000125665629,0.5771744975736005,27.221790269155246,3.38379911537775,470.9865400791168
3100,85143260,0.7649086117744446,0.00012771488999999999,0.573135942340017,27.23849589281442,3.3853178084376747,476.00410747528076
3150,86518451,0.7373458743095398,0.00012977767649999998,0.5690047586398105,27.27633536307198,3.3887577602792707,480.99062967300415
3200,87892850,0.7053924202919006,0.00013183927499999998,0.5648098210803563,27.26062637602396,3.3873296705476332,486.00009417533875
3250,89274795,0.6858152747154236,0.0001339121925,0.5605251921098896,27.41029811373148,3.400936192157407,491.058566570282
3300,90646994,0.6827206611633301,0.00013597049099999998,0.5562046433783693,27.216990300890572,3.3833627546264156,507.0291187763214
3350,92012959,0.6825976371765137,0.0001380194385,0.5518382690811255,27.234328893851185,3.3849389903501077,512.0232315063477
3400,93389877,0.6688783764839172,0.00014008481549999998,0.5473707902936852,27.31058968205169,3.3918717892774257,517.030285358429
3450,94772284,0.6447739005088806,0.00014215842599999998,0.5428187482449085,27.41946168950949,3.4017692445008625,522.0481045246124
3500,96147739,0.6943106651306152,0.0001442216085,0.5382232149907878,27.281571692087986,3.389233790189817,538.3409080505371
3550,97512582,0.6608132719993591,0.000146268873,0.5335976861546323,27.21195868889066,3.3829053353536964,543.3231337070465
3600,98894032,0.6651128530502319,0.000148341048,0.528849482608702,27.400479996826466,3.4000436360751327,548.3328938484192
